t [s]	Texp [C]	Texpout [C]	Trad [C]
0	77.0	77.0	77.0	77.0
10	76.0	76.5764249856916	76.49794444360113	76.46373609177367
20	76.0	76.15599761686997	76.00265616978035	75.93853105341039
30	76.0	75.73869450293896	75.51404396131498	75.42397240775296
40	75.0	75.32449242712116	75.03201783051304	74.91967347354706
50	75.0	74.91336834516636	74.5564890026402	74.42526645653679
60	73.0	74.50529938406942	74.08736989957019	73.94040259279231
70	73.0	74.10026284079764	73.6245741236555	73.46475129677503
80	73.0	73.69823618102782	73.16801644181557	72.99799770683232
90	73.0	73.29919703789247	72.71761276983935	72.53984264150701
100	72.0	72.90312321073543	72.27328015689957	72.09000137485043
110	72.0	72.50999266387672	71.83493677027572	71.64820262748317
120	71.0	72.11978352538662	71.40250188028278	71.21418823044107
130	71.0	71.73247408586877	70.97589584540341	70.78771201411911
140	70.0	71.34804279725245	70.55504009762029	70.36853842258937
150	70.0	70.96646827159358	70.13985712794621	69.95644248331465
160	70.0	70.58772927988501	69.73027047214933	69.55120987931653
170	70.0	70.21180475087525	69.3262046966707	69.15263523974068
180	69.0	69.83867376989625	68.92758538473173	68.76052228204303
190	69.0	69.46831557769983	68.53433912262875	68.37468292033482
200	68.0	69.1007095693027	68.14639348621256	67.99493711857382
210	68.0	68.73583529284005	67.76367702754992	67.62111220717901
220	67.0	68.37367244842784	67.38611926176509	67.2530426883134
230	66.0	68.01420088703323	67.01365065405858	66.89056970964224
240	66.0	67.65740060935372	66.646202606901	66.53354083503348
250	66.0	67.30325176470444	66.28370744739938	66.18180962221876
260	66.0	66.95173464991376	65.92609841483385	65.83523525028984
270	65.0	66.60282970822708	65.57330964836238	65.49368238018442
280	65.0	66.25651752821875	65.2252761748912	65.1570209040665
290	65.0	65.91277884271221	64.88193389710862	64.82512574228016
300	65.0	65.57159452770802	64.54321958168032	64.49787625860077
310	64.0	65.23294560131976	64.20907084760357	64.17515627102038
320	64.0	64.89681322271817	63.87942615471867	63.856853946474644
330	64.0	64.56317869108281	63.55422479237497	63.54286138413708
340	63.0	64.23202344456172	63.23340686824982	63.23307452999657
350	63.0	63.90332905923855	62.916913297318274	62.927393036837
360	63.0	63.57707724810779	62.60468579097131	62.62572002136847
370	62.0	63.25324986005716	62.29666684628087	62.32796194527973
380	62.0	62.93182887885789	61.992799735409534	62.03402847966462
390	61.0	62.612796422162305	61.69302849516298	61.74383232090175
400	61.0	62.296134740509	61.39729791668318	61.45728908576196
410	61.0	61.98182621633529	61.105553535280684	61.17431719367965
420	61.0	61.669853362997095	60.81774162040378	60.89483771531757
430	61.0	61.36019882379603	60.53380916574295	60.618774282160885
440	61.0	61.05284537101379	60.25370387946877	60.34605298290443
450	60.0	60.747775904953656	59.977374174601216	60.076602221914335
460	60.0	60.44497345298915	59.704769159508984	59.81035266932773
470	60.0	60.14442116861981	59.435838628536736	59.547237176082085
480	59.0	59.84610233053383	59.17053305275873	59.28719069287506
490	59.0	59.550000341677865	58.90880357085709	59.03015010390499
500	59.0	59.25609872833359	58.65060198012303	58.77605416453822
510	58.0	58.9643811392012	58.3958807275793	58.524843515409785
520	58.0	58.674831344489704	58.14459290122247	58.27646057839428
530	58.0	58.387433235013965	57.89669222138303	58.0308494700528
540	58.0	58.10217082129846	57.65213303220212	57.78795586249744
550	58.0	57.81902823268771	57.41087029322313	57.54772703907102
560	57.0	57.53798971646331	57.17285957109651	57.310111807784445
570	57.0	57.25903963696753	56.93805703139655	57.07506044415956
580	57.0	56.982162474733386	56.70641943054839	56.84252457037057
590	57.0	56.70734282562127	56.47790410786381	56.612457163591685
600	56.0	56.43456539996186	56.252468977684465	56.3848125202092
610	56.0	56.16381502170556	56.03007252163095	56.15954620035074
620	56.0	55.89507662757809	55.810673780956336	55.936614955990564
630	55.0	55.62833526624252	55.594232349002844	55.71597667651934
640	56.0	55.36357609746738	55.380708363760114	55.497590399812744
650	56.0	55.10078439130104	55.17006250052385	55.28141625547416
660	55.0	54.83994552725224	54.962255964653366	55.06741542333761
670	54.0	54.58104499347663	54.75725048442681	54.855550061893325
680	54.0	54.32406838596941	54.555008303992615	54.64578332159414
690	54.0	54.069001407763984	54.35549217641605	54.438079304193465
700	54.0	53.8158298681365	54.15866535681942	54.23240303039575
710	54.0	53.56453968181638	53.9644915956148	54.0287203836332
720	54.0	53.31511686820269	53.77293513182793	53.82699809826681
730	54.0	53.06754755058629	53.583960686512086	53.627203743756965
740	53.0	52.8218179553778	53.39753345625082	53.429305692527656
750	53.0	52.57791441134137	53.21361910674817	53.23327308175855
760	53.0	52.33582334883397	53.03218376650533	53.03907577658469
770	53.0	52.09553129905052	52.85319402058252	52.84668438535619
780	53.0	51.857024893274534	52.67661690444503	52.65607022417105
790	53.0	51.620290862134325	52.50241989789201	52.46720529776664
800	52.0	51.38531603486478	52.330570919067355	52.28006227892594
810	52.0	51.15208733857457	52.16103831855113	52.09461442709146
820	52.0	50.920591797518895	51.99379087353068	51.910835628334475
830	52.0	50.690816532377525	51.82879778205037	51.7287003860328
840	52.0	50.46274875953825	51.66602865733879	51.54818378976154
850	51.0	50.236375790385715	51.50545352221238	51.36926150022163
860	51.0	50.011685030595416	51.347042803554544	51.19190971980879
870	51.0	49.78866397943307	51.190767326869235	51.0161051503293
880	51.0	49.56730022905909	51.03659831090779	50.841825031486465
890	51.0	49.34758146383831	50.88450736236838	50.669047107993194
900	51.0	49.12949545965476	50.73446647066673	50.49774961538297
910	50.0	48.913030083231604	50.58644800277751	50.327911267293175
